surah_number,verse_number,page,x,y
1,1,1,0.1543,0.164
1,2,1,0.2654,0.2737
1,3,1,0.6893,0.3902
1,4,1,0.0823,0.3862
1,5,1,0.0864,0.5027
1,6,1,0.2757,0.6165
1,7,1,0.249,0.8415
2,1,2,0.8272,0.2913
2,2,2,0.7531,0.4051
2,3,2,0.0823,0.519
2,4,2,0.3169,0.7439
2,5,2,0.0844,0.855
2,6,3,0.7798,0.109
2,7,3,0.2465,0.168
2,8,3,0.0682,0.231
2,9,3,0.7411,0.35
2,10,3,0.2992,0.411
2,11,3,0.0682,0.473
2,12,3,0.2093,0.532
2,13,3,0.245,0.654
2,14,3,0.4775,0.774
2,15,3,0.5829,0.835
2,16,3,0.0744,0.896
2,17,4,0.1349,0.107
2,18,4,0.5163,0.167
2,19,4,0.3426,0.29
2,20,4,0.7566,0.475
2,21,4,0.3628,0.534
2,22,4,0.7519,0.723
2,23,4,0.6109,0.838
2,24,4,0.0744,0.901
2,25,5,0.0651,0.228
2,26,5,0.4248,0.531
2,27,5,0.0713,0.65
2,28,5,0.1349,0.771
2,29,5,0.0713,0.895
2,30,6,0.9364,0.241
2,31,6,0.1426,0.299
2,32,6,0.9349,0.42
2,33,6,0.5209,0.537
2,34,6,0.9349,0.66
2,35,6,0.0667,0.717
2,36,6,0.0636,0.839
2,37,6,0.0636,0.896
2,38,7,0.2884,0.112
2,39,7,0.0667,0.171
2,40,7,0.4403,0.289
2,41,7,0.538,0.414
2,42,7,0.4605,0.473
2,43,7,0.4806,0.534
2,44,7,0.0698,0.596
2,45,7,0.9364,0.715
2,46,7,0.0667,0.715
2,47,7,0.7597,0.837
2,48,7,0.0682,0.898
2,49,8,0.6574,0.169
2,50,8,0.3473,0.23
2,51,8,0.9364,0.348
2,52,8,0.0713,0.347
2,53,8,0.0713,0.409
2,54,8,0.9333,0.653
2,55,8,0.3457,0.713
2,56,8,0.3752,0.772
2,57,8,0.0713,0.893
2,58,9,0.5612,0.164
2,59,9,0.4915,0.287
2,60,9,0.0682,0.469
2,61,9,0.0744,0.895
2,62,10,0.1442,0.169
2,63,10,0.3426,0.29
2,64,10,0.7814,0.411
2,65,10,0.4171,0.47
2,66,10,0.2667,0.531
2,67,10,0.1535,0.653
2,68,10,0.0744,0.771
2,69,10,0.0713,0.895
2,70,11,0.5643,0.11
2,71,11,0.1302,0.229
2,72,11,0.0682,0.29
2,73,11,0.5581,0.41
2,74,11,0.062,0.591
2,75,11,0.6372,0.769
